book_id,title,price_gbp,price_inr,rating,in_stock,category_id
5,Sapiens: A Brief History of Humankind,54.23,5721.26,5,1,5
13,Set Me Free,17.46,1842.03,5,1,6
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5,1,9
15,Rip it Up and Start Again,35.02,3694.61,5,1,10
24,Chase Me (Paris Nights #2),25.27,2665.98,5,1,16
25,Black Dust,34.53,3642.92,5,1,16
29,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,4251.65,5,1,18
31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,1863.13,5,1,20
33,The Elephant Tree,23.82,2513.01,5,1,14
35,Sophie's World,15.94,1681.67,5,1,21
43,Private Paris (Private #10),47.61,5022.85,5,1,3
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.1,5,1,18
47,"We Love You, Charlie Freeman",50.27,5303.48,5,1,3
55,Thirst,17.27,1821.98,5,1,3
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,2172.24,5,1,8
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,3401.32,5,1,20
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.86,5,1,9
82,Princess Between Worlds (Wide-Awake Princess #5),13.34,1407.37,5,1,24
99,Join,35.67,3763.19,5,1,11
